Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	Quantity	Quantity Mean	Quantity SD	RQ	RQ Min	RQ Max	CT	Ct Mean	Ct SD	Delta Ct	Delta Ct Mean	Delta Ct SE	Delta Delta Ct	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	Tm1	Tm2	Tm3	MTP	EXPFAIL	NOAMP	THOLDFAIL		
174	H6	FALSO	8505 ut	FASLG	UNKNOWN	SYBR	None							34.09	34.09						VERO	0.286	VERO	1	40		82.271			N	N	N	N		
175	H7	FALSO	8505 ut	IL16	UNKNOWN	SYBR	None							29.421	29.421						VERO	0.136	VERO	1	40		82.008			N	N	N	N		
176	H8	FALSO	8505 ut	IL21	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		61.634			N	Y	Y	Y		
177	H9	FALSO	8505 ut	IL9	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		61.502			N	Y	Y	Y		
178	H10	FALSO	8505 ut	SPP1	UNKNOWN	SYBR	None							27.64	27.64						VERO	0.139	VERO	1	40		82.14			N	N	N	N		
179	H11	FALSO	8505 ut	VEGFA	UNKNOWN	SYBR	None							25.46	25.46						VERO	0.131	VERO	1	40		83.586			N	N	N	N		
180	H12	FALSO	8505 ut	RT	UNKNOWN	SYBR	None							29.76	29.76						VERO	0.124	VERO	1	40		75.041			N	N	N	N		
181	H13	FALSO	8505 overgal3	CCL13	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		68.863			N	Y	Y	Y		
182	H14	FALSO	8505 overgal3	CCL24	UNKNOWN	SYBR	None							Undetermined							VERO	0.04	VERO	1	40		61.371			N	Y	Y	Y		
183	H15	FALSO	8505 overgal3	CCR2	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		67.943			N	Y	Y	Y		
184	H16	FALSO	8505 overgal3	CSF2	UNKNOWN	SYBR	None							Undetermined							VERO	0.097	VERO	1	40		62.948			N	Y	Y	N		
185	H17	FALSO	8505 overgal3	CXCL13	UNKNOWN	SYBR	None							Undetermined							VERO	0.04	VERO	1	40		69.126			N	Y	Y	Y		
186	H18	FALSO	8505 overgal3	FASLG	UNKNOWN	SYBR	None							Undetermined							VERO	0.286	VERO	1	40		61.371			N	Y	Y	N		
187	H19	FALSO	8505 overgal3	IL16	UNKNOWN	SYBR	None							Undetermined							VERO	0.136	VERO	1	40		66.76			N	Y	Y	N		
188	H20	FALSO	8505 overgal3	IL21	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		67.023			N	Y	N	Y		
189	H21	FALSO	8505 overgal3	IL9	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		61.239			N	Y	Y	Y		
190	H22	FALSO	8505 overgal3	SPP1	UNKNOWN	SYBR	None							32.617	32.617						VERO	0.139	VERO	1	40		81.614			N	N	N	N		
191	H23	FALSO	8505 overgal3	VEGFA	UNKNOWN	SYBR	None							33.715	33.715						VERO	0.131	VERO	1	40		83.06			N	N	N	N		
192	H24	FALSO	8505 overgal3	RT	UNKNOWN	SYBR	None							34.269	34.269						VERO	0.124	VERO	1	40		74.121			N	N	N	N		
193	I1	FALSO	8505 sh gal3	ACTB	UNKNOWN	SYBR	None							23.192	23.192						VERO	0.096	VERO	1	40		82.402			N	N	N	N		
194	I2	FALSO	8505 sh gal3	CCL15	UNKNOWN	SYBR	None							Undetermined							VERO	0.04	VERO	1	40		61.239			N	Y	Y	Y		
195	I3	FALSO	8505 sh gal3	CCL26	UNKNOWN	SYBR	None							Undetermined							VERO	0.104	VERO	1	40		61.502			N	Y	Y	N		
196	I4	FALSO	8505 sh gal3	CCR3	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		66.76			N	Y	Y	Y		
197	I5	FALSO	8505 sh gal3	CSF3	UNKNOWN	SYBR	None							Undetermined							VERO	0.131	VERO	1	40		66.892			N	Y	Y	N		
198	I6	FALSO	8505 sh gal3	CXCL2	UNKNOWN	SYBR	None							31.483	31.483						VERO	0.153	VERO	1	40		73.727			N	N	N	N		
199	I7	FALSO	8505 sh gal3	GUSB	UNKNOWN	SYBR	None							30.268	30.268						VERO	0.133	VERO	1	40		80.562			N	N	N	N		
200	I8	FALSO	8505 sh gal3	IL17A	UNKNOWN	SYBR	None							35.776	35.776						VERO	0.04	VERO	1	40		71.361			N	N	N	Y		
201	I9	FALSO	8505 sh gal3	IL27	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		61.897			N	Y	Y	Y		
202	I10	FALSO	8505 sh gal3	IL9R	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		67.68			N	Y	Y	Y		
203	I11	FALSO	8505 sh gal3	TNF	UNKNOWN	SYBR	None							Undetermined							VERO	0.131	VERO	1	40		67.155			N	Y	Y	N		
204	I12	FALSO	8505 sh gal3	TBP	UNKNOWN	SYBR	None							30.56	30.56						VERO	0.137	VERO	1	40		82.665			N	N	N	N		
205	I13	FALSO	8505 gb1107 treated	ACTB	UNKNOWN	SYBR	None							20.294	20.294						VERO	0.096	VERO	1	40		82.271			N	N	N	N		
206	I14	FALSO	8505 gb1107 treated	CCL15	UNKNOWN	SYBR	None							Undetermined							VERO	0.04	VERO	1	40		63.605			N	Y	Y	Y		
207	I15	FALSO	8505 gb1107 treated	CCL26	UNKNOWN	SYBR	None							32.238	32.238						VERO	0.104	VERO	1	40		82.928			N	N	N	N		
208	I16	FALSO	8505 gb1107 treated	CCR3	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		60.451			N	Y	Y	Y		
209	I17	FALSO	8505 gb1107 treated	CSF3	UNKNOWN	SYBR	None							32.367	32.367						VERO	0.131	VERO	1	40		71.229			N	N	N	N		
210	I18	FALSO	8505 gb1107 treated	CXCL2	UNKNOWN	SYBR	None							28.95	28.95						VERO	0.153	VERO	1	40		73.464			N	N	N	N		
211	I19	FALSO	8505 gb1107 treated	GUSB	UNKNOWN	SYBR	None							25.954	25.954						VERO	0.133	VERO	1	40		80.168			N	N	N	N		
212	I20	FALSO	8505 gb1107 treated	IL17A	UNKNOWN	SYBR	None							Undetermined							VERO	0.04	VERO	1	40		68.863			N	Y	N	Y		
213	I21	FALSO	8505 gb1107 treated	IL27	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		68.338			N	Y	Y	Y		
214	I22	FALSO	8505 gb1107 treated	IL9R	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		68.6			N	Y	Y	Y		
215	I23	FALSO	8505 gb1107 treated	TNF	UNKNOWN	SYBR	None							30.971	30.971						VERO	0.131	VERO	1	40		85.031			N	N	N	N		
216	I24	FALSO	8505 gb1107 treated	TBP	UNKNOWN	SYBR	None							26.159	26.159						VERO	0.137	VERO	1	40		82.534			N	N	N	N		
217	J1	FALSO	8505 sh gal3	AIMP1	UNKNOWN	SYBR	None							26.755	26.755						VERO	0.162	VERO	1	40		79.774			N	N	N	N		
218	J2	FALSO	8505 sh gal3	CCL16	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		66.497			N	Y	Y	Y		
219	J3	FALSO	8505 sh gal3	CCL3	UNKNOWN	SYBR	None							Undetermined							VERO	0.091	VERO	1	40		62.16			N	Y	Y	N		
220	J4	FALSO	8505 sh gal3	CCR4	UNKNOWN	SYBR	None							Undetermined							VERO	0.125	VERO	1	40		61.108			N	Y	Y	N		
221	J5	FALSO	8505 sh gal3	CX3CL1	UNKNOWN	SYBR	None							Undetermined							VERO	0.3	VERO	1	40		61.239			N	Y	Y	N		
222	J6	FALSO	8505 sh gal3	CXCL3	UNKNOWN	SYBR	None							35.99	35.99						VERO	0.04	VERO	1	40		80.431			N	N	N	Y		
223	J7	FALSO	8505 sh gal3	IFNA2	UNKNOWN	SYBR	None							Undetermined							VERO	0.294	VERO	1	40		61.634			N	Y	Y	N		
224	J8	FALSO	8505 sh gal3	IL17C	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		60.845			N	Y	Y	Y		
225	J9	FALSO	8505 sh gal3	IL3	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		67.549			N	Y	Y	Y		
226	J10	FALSO	8505 sh gal3	LTA	UNKNOWN	SYBR	None							Undetermined							VERO	0.124	VERO	1	40		67.417			N	Y	Y	N		
227	J11	FALSO	8505 sh gal3	TNFRSF11	UNKNOWN	SYBR	None							34.201	34.201						VERO	0.133	VERO	1	40		80.299			N	N	N	N		
228	J12	FALSO	8505 sh gal3	GAPDH	UNKNOWN	SYBR	None							22.681	22.681						VERO	0.122	VERO	1	40		85.952			N	N	N	N		
229	J13	FALSO	8505 gb1107 treated	AIMP1	UNKNOWN	SYBR	None							23.927	23.927						VERO	0.162	VERO	1	40		79.511			N	N	N	N		
230	J14	FALSO	8505 gb1107 treated	CCL16	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		69.126			N	Y	Y	Y		
231	J15	FALSO	8505 gb1107 treated	CCL3	UNKNOWN	SYBR	None							35.533	35.533						VERO	0.091	VERO	1	40		80.825			N	N	N	N		
232	J16	FALSO	8505 gb1107 treated	CCR4	UNKNOWN	SYBR	None							35.064	35.064						VERO	0.125	VERO	1	40		84.506			N	N	N	N		
233	J17	FALSO	8505 gb1107 treated	CX3CL1	UNKNOWN	SYBR	None							Undetermined							VERO	0.3	VERO	1	40		70.309			N	Y	Y	N		
234	J18	FALSO	8505 gb1107 treated	CXCL3	UNKNOWN	SYBR	None							33.772	33.772						VERO	0.04	VERO	1	40		80.431			N	N	N	Y		
235	J19	FALSO	8505 gb1107 treated	IFNA2	UNKNOWN	SYBR	None							Undetermined							VERO	0.294	VERO	1	40		68.469			N	Y	Y	N		
236	J20	FALSO	8505 gb1107 treated	IL17C	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		67.549			N	Y	Y	Y		
237	J21	FALSO	8505 gb1107 treated	IL3	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		62.16			N	Y	Y	Y		
238	J22	FALSO	8505 gb1107 treated	LTA	UNKNOWN	SYBR	None							34.273	34.273						VERO	0.124	VERO	1	40		83.191			N	N	N	N		
239	J23	FALSO	8505 gb1107 treated	TNFRSF11	UNKNOWN	SYBR	None							32.98	32.98						VERO	0.133	VERO	1	40		80.168			N	N	N	N		
240	J24	FALSO	8505 gb1107 treated	GAPDH	UNKNOWN	SYBR	None							17.75	17.75						VERO	0.122	VERO	1	40		85.689			N	N	N	N		
241	K1	FALSO	8505 sh gal3	B2M	UNKNOWN	SYBR	None							24.071	24.071						VERO	0.144	VERO	1	40		82.271			N	N	N	N		
242	K2	FALSO	8505 sh gal3	CCL17	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		65.577			N	Y	Y	Y		
243	K3	FALSO	8505 sh gal3	CCL4	UNKNOWN	SYBR	None							Undetermined							VERO	0.083	VERO	1	40		61.502			N	Y	Y	N		
244	K4	FALSO	8505 sh gal3	CCR5	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		61.371			N	Y	Y	Y		
245	K5	FALSO	8505 sh gal3	CX3CR1	UNKNOWN	SYBR	None							Undetermined							VERO	0.132	VERO	1	40		62.291			N	Y	Y	N		
246	K6	FALSO	8505 sh gal3	CXCL5	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		79.379			N	Y	Y	Y		
247	K7	FALSO	8505 sh gal3	IFNG	UNKNOWN	SYBR	None							Undetermined							VERO	0.04	VERO	1	40		68.338			N	Y	Y	Y		
248	K8	FALSO	8505 sh gal3	IL17F	UNKNOWN	SYBR	None							Undetermined							VERO	0.04	VERO	1	40		73.464			N	Y	Y	Y		
249	K9	FALSO	8505 sh gal3	IL33	UNKNOWN	SYBR	None							Undetermined							VERO	0.14	VERO	1	40		76.356			N	N	N	N		
250	K10	FALSO	8505 sh gal3	LTB	UNKNOWN	SYBR	None							Undetermined							VERO	0.235	VERO	1	40		67.417			N	Y	Y	N		
251	K11	FALSO	8505 sh gal3	TNFSF10	UNKNOWN	SYBR	None							Undetermined							VERO	0.134	VERO	1	40		62.422			N	Y	Y	N		
252	K12	FALSO	8505 sh gal3	HPRT1	UNKNOWN	SYBR	None							24.238	24.238						VERO	0.136	VERO	1	40		81.877			N	N	N	N		
253	K13	FALSO	8505 gb1107 treated	B2M	UNKNOWN	SYBR	None							21.241	21.241						VERO	0.144	VERO	1	40		82.14			N	N	N	N		
254	K14	FALSO	8505 gb1107 treated	CCL17	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		70.572			N	Y	Y	Y		
255	K15	FALSO	8505 gb1107 treated	CCL4	UNKNOWN	SYBR	None							35.597	35.597						VERO	0.083	VERO	1	40		80.957			N	N	N	N		
256	K16	FALSO	8505 gb1107 treated	CCR5	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		68.995			N	Y	Y	Y		
257	K17	FALSO	8505 gb1107 treated	CX3CR1	UNKNOWN	SYBR	None							34.963	34.963						VERO	0.132	VERO	1	40		80.036			N	N	N	N		
258	K18	FALSO	8505 gb1107 treated	CXCL5	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		68.732			N	Y	Y	Y		
259	K19	FALSO	8505 gb1107 treated	IFNG	UNKNOWN	SYBR	None							Undetermined							VERO	0.04	VERO	1	40		68.863			N	Y	Y	Y		
260	K20	FALSO	8505 gb1107 treated	IL17F	UNKNOWN	SYBR	None							Undetermined							VERO	0.04	VERO	1	40		68.469			N	Y	Y	Y		
261	K21	FALSO	8505 gb1107 treated	IL33	UNKNOWN	SYBR	None							32.335	32.335						VERO	0.14	VERO	1	40		81.219			N	N	N	N		
262	K22	FALSO	8505 gb1107 treated	LTB	UNKNOWN	SYBR	None							Undetermined							VERO	0.235	VERO	1	40		68.732			N	Y	Y	N		
263	K23	FALSO	8505 gb1107 treated	TNFSF10	UNKNOWN	SYBR	None							31.683	31.683						VERO	0.134	VERO	1	40		83.06			N	N	N	N		
264	K24	FALSO	8505 gb1107 treated	HPRT1	UNKNOWN	SYBR	None							23.292	23.292						VERO	0.136	VERO	1	40		81.745			N	N	N	N		
265	L1	FALSO	8505 sh gal3	BMP2	UNKNOWN	SYBR	None							Undetermined							VERO	0.089	VERO	1	40		66.103			N	Y	Y	N		
266	L2	FALSO	8505 sh gal3	CCL2	UNKNOWN	SYBR	None							32.123	32.123						VERO	0.111	VERO	1	40		86.609			N	N	N	N		
267	L3	FALSO	8505 sh gal3	CCL5	UNKNOWN	SYBR	None							Undetermined							VERO	0.136	VERO	1	40		60.976			N	Y	Y	N		
268	L4	FALSO	8505 sh gal3	CCR6	UNKNOWN	SYBR	None							Undetermined							VERO	0.131	VERO	1	40		66.629			N	Y	Y	N		
269	L5	FALSO	8505 sh gal3	CXCL1	UNKNOWN	SYBR	None							26.646	26.646						VERO	0.132	VERO	1	40		79.116			N	N	N	N		
270	L6	FALSO	8505 sh gal3	CXCL6	UNKNOWN	SYBR	None							Undetermined							VERO	0.04	VERO	1	40		71.887			N	Y	N	Y		
271	L7	FALSO	8505 sh gal3	IL10RA	UNKNOWN	SYBR	None							Undetermined							VERO	0.117	VERO	1	40		66.497			N	Y	Y	N		
272	L8	FALSO	8505 sh gal3	IL1A	UNKNOWN	SYBR	None							33.35	33.35						VERO	0.131	VERO	1	40		83.323			N	N	N	N		
273	L9	FALSO	8505 sh gal3	IL5	UNKNOWN	SYBR	None							Undetermined							VERO	0.127	VERO	1	40		66.76			N	Y	Y	N		
274	L10	FALSO	8505 sh gal3	MIF	UNKNOWN	SYBR	None							24.635	24.635						VERO	0.123	VERO	1	40		85.689			N	N	N	N		
275	L11	FALSO	8505 sh gal3	TNFSF11	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		64			N	Y	Y	Y		
276	L12	FALSO	8505 sh gal3	gDNA	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		61.502			N	Y	Y	Y		
277	L13	FALSO	8505 gb1107 treated	BMP2	UNKNOWN	SYBR	None							32.867	32.867						VERO	0.089	VERO	1	40		86.609			N	N	N	N		
278	L14	FALSO	8505 gb1107 treated	CCL2	UNKNOWN	SYBR	None							27.122	27.122						VERO	0.111	VERO	1	40		86.609			N	N	N	N		
279	L15	FALSO	8505 gb1107 treated	CCL5	UNKNOWN	SYBR	None							34.972	34.972						VERO	0.136	VERO	1	40		84.374			N	N	N	N		
280	L16	FALSO	8505 gb1107 treated	CCR6	UNKNOWN	SYBR	None							35.291	35.291						VERO	0.131	VERO	1	40		80.957			N	N	N	N		
281	L17	FALSO	8505 gb1107 treated	CXCL1	UNKNOWN	SYBR	None							23.373	23.373						VERO	0.132	VERO	1	40		78.985			N	N	N	N		
282	L18	FALSO	8505 gb1107 treated	CXCL6	UNKNOWN	SYBR	None							Undetermined							VERO	0.04	VERO	1	40		71.492			N	Y	N	Y		
283	L19	FALSO	8505 gb1107 treated	IL10RA	UNKNOWN	SYBR	None							35.215	35.215						VERO	0.117	VERO	1	40		80.694			N	N	N	N		
284	L20	FALSO	8505 gb1107 treated	IL1A	UNKNOWN	SYBR	None							27.466	27.466						VERO	0.131	VERO	1	40		83.191			N	N	N	N		
285	L21	FALSO	8505 gb1107 treated	IL5	UNKNOWN	SYBR	None							35.355	35.355						VERO	0.127	VERO	1	40		77.802			N	N	N	N		
286	L22	FALSO	8505 gb1107 treated	MIF	UNKNOWN	SYBR	None							21.082	21.082						VERO	0.123	VERO	1	40		85.557			N	N	N	N		
287	L23	FALSO	8505 gb1107 treated	TNFSF11	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		60.845			N	Y	N	Y		
288	L24	FALSO	8505 gb1107 treated	gDNA	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		61.108			N	Y	Y	Y		
289	M1	FALSO	8505 sh gal3	C5	UNKNOWN	SYBR	None							34.786	34.786						VERO	0.133	VERO	1	40		77.933			N	N	N	N		
290	M2	FALSO	8505 sh gal3	CCL20	UNKNOWN	SYBR	None							37.665	37.665						VERO	0.141	VERO	1	40		84.243			N	N	N	N		
291	M3	FALSO	8505 sh gal3	CCL7	UNKNOWN	SYBR	None							Undetermined							VERO	0.307	VERO	1	40		61.502			N	Y	N	N		
292	M4	FALSO	8505 sh gal3	CCR8	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		66.234			N	Y	Y	Y		
293	M5	FALSO	8505 sh gal3	CXCL10	UNKNOWN	SYBR	None							Undetermined							VERO	0.363	VERO	1	40		66.366			N	Y	N	N		
294	M6	FALSO	8505 sh gal3	CXCL9	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		66.234			N	Y	Y	Y		
295	M7	FALSO	8505 sh gal3	IL10RB	UNKNOWN	SYBR	None							33.23	33.23						VERO	0.151	VERO	1	40		78.853			N	N	N	N		
296	M8	FALSO	8505 sh gal3	IL1B	UNKNOWN	SYBR	None							31.893	31.893						VERO	0.141	VERO	1	40		84.9			N	N	N	N		
297	M9	FALSO	8505 sh gal3	IL5RA	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		61.502			N	Y	Y	Y		
298	M10	FALSO	8505 sh gal3	NAMPT	UNKNOWN	SYBR	None							27.807	27.807						VERO	0.127	VERO	1	40		77.276			N	N	N	N		
299	M11	FALSO	8505 sh gal3	TNFSF13	UNKNOWN	SYBR	None							Undetermined							VERO	0.04	VERO	1	40		67.155			N	N	N	Y		
300	M12	FALSO	8505 sh gal3	PCR	UNKNOWN	SYBR	None							20.494	20.494						VERO	0.137	VERO	1	40		78.196			N	N	N	N		
301	M13	FALSO	8505 gb1107 treated	C5	UNKNOWN	SYBR	None							32.07	32.07						VERO	0.133	VERO	1	40		77.933			N	N	N	N		
302	M14	FALSO	8505 gb1107 treated	CCL20	UNKNOWN	SYBR	None							30.602	30.602						VERO	0.141	VERO	1	40		84.374			N	N	N	N		
303	M15	FALSO	8505 gb1107 treated	CCL7	UNKNOWN	SYBR	None							Undetermined							VERO	0.307	VERO	1	40		68.995			N	Y	Y	N		
304	M16	FALSO	8505 gb1107 treated	CCR8	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		68.995			N	Y	Y	Y		
305	M17	FALSO	8505 gb1107 treated	CXCL10	UNKNOWN	SYBR	None							Undetermined							VERO	0.363	VERO	1	40		67.943			N	Y	Y	N		
306	M18	FALSO	8505 gb1107 treated	CXCL9	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		68.469			N	Y	Y	Y		
307	M19	FALSO	8505 gb1107 treated	IL10RB	UNKNOWN	SYBR	None							31.817	31.817						VERO	0.151	VERO	1	40		78.591			N	N	N	N		
308	M20	FALSO	8505 gb1107 treated	IL1B	UNKNOWN	SYBR	None							25.966	25.966						VERO	0.141	VERO	1	40		84.769			N	N	N	N		
309	M21	FALSO	8505 gb1107 treated	IL5RA	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		71.492			N	Y	Y	Y		
310	M22	FALSO	8505 gb1107 treated	NAMPT	UNKNOWN	SYBR	None							24.163	24.163						VERO	0.127	VERO	1	40		77.145			N	N	N	N		
311	M23	FALSO	8505 gb1107 treated	TNFSF13	UNKNOWN	SYBR	None							31.855	31.855						VERO	0.04	VERO	1	40		86.872			N	N	N	Y		
312	M24	FALSO	8505 gb1107 treated	PCR	UNKNOWN	SYBR	None							22.591	22.591						VERO	0.137	VERO	1	40		77.407			N	N	N	N		
313	N1	FALSO	8505 sh gal3	CCL1	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		61.502			N	Y	Y	Y		
314	N2	FALSO	8505 sh gal3	CCL22	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		66.103			N	Y	Y	Y		
315	N3	FALSO	8505 sh gal3	CCL8	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		68.995			N	N	N	Y		
316	N4	FALSO	8505 sh gal3	CD40LG	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		68.206			N	Y	Y	Y		
317	N5	FALSO	8505 sh gal3	CXCL11	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		66.629			N	Y	Y	Y		
318	N6	FALSO	8505 sh gal3	CXCLR1	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		66.629			N	Y	Y	Y		
319	N7	FALSO	8505 sh gal3	IL13	UNKNOWN	SYBR	None							34.815	34.815						VERO	0.041	VERO	1	40		75.436			N	N	N	N		
320	N8	FALSO	8505 sh gal3	IL1R1	UNKNOWN	SYBR	None							Undetermined							VERO	0.13	VERO	1	40		66.76			N	Y	Y	N		
321	N9	FALSO	8505 sh gal3	IL7	UNKNOWN	SYBR	None							29.406	29.406						VERO	0.12	VERO	1	40		76.619			N	N	N	N		
322	N10	FALSO	8505 sh gal3	OSM	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		66.234			N	Y	Y	Y		
323	N11	FALSO	8505 sh gal3	TNFSF13B	UNKNOWN	SYBR	None							33.705	33.705						VERO	0.215	VERO	1	40		81.482			N	N	N	N		
324	N12	FALSO	8505 sh gal3	RQ1	UNKNOWN	SYBR	None							28.492	28.492						VERO	0.128	VERO	1	40		82.797			N	N	N	N		
325	N13	FALSO	8505 gb1107 treated	CCL1	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		60.976			N	Y	Y	Y		
326	N14	FALSO	8505 gb1107 treated	CCL22	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		68.338			N	Y	Y	Y		
327	N15	FALSO	8505 gb1107 treated	CCL8	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		68.732			N	N	N	Y		
328	N16	FALSO	8505 gb1107 treated	CD40LG	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		68.338			N	Y	Y	Y		
329	N17	FALSO	8505 gb1107 treated	CXCL11	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		68.469			N	Y	Y	Y		
330	N18	FALSO	8505 gb1107 treated	CXCLR1	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		68.732			N	Y	Y	Y		
331	N19	FALSO	8505 gb1107 treated	IL13	UNKNOWN	SYBR	None							Undetermined							VERO	0.041	VERO	1	40		68.863			N	Y	Y	N		
332	N20	FALSO	8505 gb1107 treated	IL1R1	UNKNOWN	SYBR	None							34.617	34.617						VERO	0.13	VERO	1	40		80.168			N	N	N	N		
333	N21	FALSO	8505 gb1107 treated	IL7	UNKNOWN	SYBR	None							28.358	28.358						VERO	0.12	VERO	1	40		76.356			N	N	N	N		
334	N22	FALSO	8505 gb1107 treated	OSM	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		67.812			N	Y	Y	Y		
335	N23	FALSO	8505 gb1107 treated	TNFSF13B	UNKNOWN	SYBR	None							Undetermined							VERO	0.215	VERO	1	40		67.68			N	Y	Y	N		
336	N24	FALSO	8505 gb1107 treated	RQ1	UNKNOWN	SYBR	None							24.676	24.676						VERO	0.128	VERO	1	40		82.402			N	N	N	N		
337	O1	FALSO	8505 sh gal3	CCl11	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		65.577			N	Y	Y	Y		
338	O2	FALSO	8505 sh gal3	CCL23	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		66.76			N	Y	Y	Y		
339	O3	FALSO	8505 sh gal3	CCR1	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		61.371			N	Y	Y	Y		
340	O4	FALSO	8505 sh gal3	CSF1	UNKNOWN	SYBR	None							34.076	34.076						VERO	0.133	VERO	1	40		77.802			N	N	N	N		
341	O5	FALSO	8505 sh gal3	CXCL12	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		66.234			N	Y	Y	Y		
342	O6	FALSO	8505 sh gal3	CXCR2	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		66.497			N	Y	Y	Y		
343	O7	FALSO	8505 sh gal3	IL15	UNKNOWN	SYBR	None							30.17	30.17						VERO	0.138	VERO	1	40		76.882			N	N	N	N		
344	O8	FALSO	8505 sh gal3	IL1RN	UNKNOWN	SYBR	None							Undetermined							VERO	0.288	VERO	1	40		66.234			N	Y	Y	N		
345	O9	FALSO	8505 sh gal3	IL8	UNKNOWN	SYBR	None							28.454	28.454						VERO	0.129	VERO	1	40		80.299			N	N	N	N		
346	O10	FALSO	8505 sh gal3	RPLP0	UNKNOWN	SYBR	None							25.624	25.624						VERO	0.124	VERO	1	40		82.534			N	N	N	N		
347	O11	FALSO	8505 sh gal3	TNFSF4	UNKNOWN	SYBR	None							Undetermined							VERO	0.097	VERO	1	40		66.76			N	Y	Y	N		
348	O12	FALSO	8505 sh gal3	RQ2	UNKNOWN	SYBR	None							39.549	39.549						VERO	0.151	VERO	1	40		83.191			N	N	N	N		
349	O13	FALSO	8505 gb1107 treated	CCl11	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		68.732			N	Y	Y	Y		
350	O14	FALSO	8505 gb1107 treated	CCL23	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		67.417			N	Y	Y	Y		
351	O15	FALSO	8505 gb1107 treated	CCR1	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		61.239			N	Y	Y	Y		
