Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	Quantity	Quantity Mean	Quantity SD	RQ	RQ Min	RQ Max	CT	Ct Mean	Ct SD	Delta Ct	Delta Ct Mean	Delta Ct SE	Delta Delta Ct	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	Tm1	Tm2	Tm3	MTP	EXPFAIL	NOAMP	THOLDFAIL		
41	B17	FALSO	8505 overgal3	CX3CL1	UNKNOWN	SYBR	None							Undetermined							VERO	0.3	VERO	1	40		67.286			N	Y	Y	N		
42	B18	FALSO	8505 overgal3	CXCL3	UNKNOWN	SYBR	None							35.649	35.649						VERO	0.04	VERO	1	40		80.562			N	N	N	Y		
43	B19	FALSO	8505 overgal3	IFNA2	UNKNOWN	SYBR	None							Undetermined							VERO	0.294	VERO	1	40		66.366			N	Y	Y	N		
44	B20	FALSO	8505 overgal3	IL17C	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		61.108			N	Y	Y	Y		
45	B21	FALSO	8505 overgal3	IL3	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		61.502			N	Y	Y	Y		
46	B22	FALSO	8505 overgal3	LTA	UNKNOWN	SYBR	None							Undetermined							VERO	0.124	VERO	1	40		60.845			N	Y	Y	N		
47	B23	FALSO	8505 overgal3	TNFRSF11	UNKNOWN	SYBR	None							Undetermined							VERO	0.133	VERO	1	40		66.497			N	Y	Y	N		
48	B24	FALSO	8505 overgal3	GAPDH	UNKNOWN	SYBR	None							20.519	20.519						VERO	0.122	VERO	1	40		85.689			N	N	N	N		
49	C1	FALSO	8505 ut	B2M	UNKNOWN	SYBR	None							17.136	17.136						VERO	0.144	VERO	1	40		82.534			N	N	N	N		
50	C2	FALSO	8505 ut	CCL17	UNKNOWN	SYBR	None							Undetermined							VERO	0.2	VERO	1	40		66.234			N	Y	Y	Y		
